,Abstract,Task 1
8003,Simulation results have shown that the 2-DOF method has achieved better robust performance than the PD method.,RESULTS/CONCLUSIONS
8014,"We demonstrate, both formally and empirically, that Ensembles of deep LSTM learners outperform the individual LSTM networks.",RESULTS/CONCLUSIONS
8015,"Through an extensive experimental evaluation on three standard benchmarks (Opportunity, PAMAP2, Skoda) we demonstrate the excellent recognition capabilities of our approach and its potential for real-life applications of human activity recognition.",RESULTS/CONCLUSIONS
8020,"We show how database repairs can be modeled as fixpoints of particular operators on databases, and study how the notion of grounded fixpoint induces a corresponding notion of grounded database repair that captures several natural intuitions, and in particular avoids the problems of previous alternative semantics.",RESULTS
8022,We propose such a definition and illustrate its plausibility in the database context.,METHODS/RESULTS
8029,"Analytical results demonstrate that, in the presence of a time-varying content popularity, the rate of fronthaul links sets a fundamental limit to the long-term NDT of F- RAN system.",RESULTS/CONCLUSIONS
8030,"Analytical results are further verified by numerical simulation, yielding important design insights.",RESULTS
8034,"For several concepts, it was necessary to specialize the CKM archetypes, or design new ones.",RESULTS
8035,"A total of 22 archetypes were used: 8 new, 5 specialized and 9 reused from CKM.",RESULTS
8037,Tropical recurrent sequences are introduced satisfying a given vector (being a tropical counterpart of classical linear recurrent sequences).,OBJECTIVES/METHODS/RESULTS
8038,We consider the case when Newton polygon of the vector has a single (bounded) edge.,OBJECTIVES/METHODS/RESULTS
8040,"A question is studied when there exists a non-periodic tropical recurrent sequence satisfying a given vector, and partial answers are provided to this question.",OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
8041,Also an algorithm is designed which tests existence of non-periodic tropical recurrent sequences satisfying a given vector with integer coordinates.,OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
8042,"Finally, we introduce a tropical entropy of a vector and provide some bounds on it.",OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
8050,We implement and experimentally evaluate our method considering a persistent monitoring task in a road network environment.,RESULTS
8054,This paper describes a series of experiments trying to identify patterns in regard to the effect of the training set on the dynamics and eventual outcome of the training.,OBJECTIVES/METHODS/RESULTS
8059,"In this article, we comprehensively survey studies that examine the SDN paradigm in optical networks; in brief, we survey the area of Software Defined Optical Networks (SDONs).",OBJECTIVES/RESULTS
8066,"Using data from over 133 k websites, we show that 37% of them include at least one library with a known vulnerability; the time lag behind the newest release of a library is measured in the order of years.",RESULTS
8068,"We observe sites including libraries in ad hoc and often transitive ways, which can lead to different versions of the same library being loaded into the same document at the same time.",RESULTS
8069,"Furthermore, we find that libraries included transitively, or via ad and tracking code, are more likely to be vulnerable.",RESULTS/CONCLUSIONS
8075,"We show by using efficient load balancing using work stealing on a single node, and by using asynchronous communication in the distributed version we beat state of the art implementations.",RESULTS/CONCLUSIONS
8078,Our method outperforms traditional metrics and a constant baseline in most respects; we also show that synthetic data helps to increase correlation results by 21% compared to the base system.,RESULTS
8079,Our results are comparable to results obtained in similar QE tasks despite the more challenging setting.,RESULTS
8088,"Since visibilities are processed online, good reconstructions are recovered much faster than standard (offline) methods which cannot start until the data acquisition stage completes.",RESULTS
8089,"Moreover, the online method provides additional computational savings and, most importantly, dramatically reduces data storage requirements.",RESULTS
8090,"Theoretically, the reconstructed images are of the same fidelity as those recovered by the equivalent offline approach and, in practice, very similar reconstruction fidelity is achieved.",RESULTS/CONCLUSIONS
8094,We demonstrate that this representation-based approach outperforms three other state-of-the-art bootstrapping approaches on two datasets: CoNLL-2003 and OntoNotes.,RESULTS
8095,"Additionally, using these embeddings, our approach outputs a globally-interpretable model consisting of a decision list, by ranking patterns based on their proximity to the average entity embedding in a given class.",RESULTS
8099,"This paper provides two main technical contributions: (i) a new accelerated method AGDP that generalizes Nesterov's AGD and improves on the recent method AXGD (Diakonikolas & Orecchia, 2018), and (ii) a theoretical study of accelerated algorithms under noisy and inexact gradient oracles, which is supported by numerical experiments.",RESULTS
8100,This study leverages the simplicity of AGDP and its analysis to clarify the interaction between noise and acceleration and to suggest modifications to the algorithm that reduce the mean and variance of the error incurred due to the gradient noise.,METHODS/RESULTS/CONCLUSIONS
8108,"Experimental results with real OSN datasets show that our approach can achieve high approximation guarantees and significantly outperform the baseline algorithms, including state-of-the-art influence maximization algorithms.",RESULTS
8112,"In addition, we propose a binless extension of spectral learning for continuous data.",METHODS/RESULTS
8116,"Using a fast clustering algorithm combined with a graph layout algorithm, we demonstrate how to display these clustering results in an attractive and informative way.",RESULTS
8129,"Unfortunately, as the results of our experiments show, predicting these 2D projections using a regular CNN or a Convolutional Pose Machine is highly sensitive to partial occlusions, even when these methods are trained with partially occluded examples.",RESULTS
8131,Training subsequently becomes challenging because patches with similar appearances but different positions on the object correspond to different heatmaps.,RESULTS
8133,"We show that our approach outperforms existing methods on two challenging datasets: The Occluded LineMOD dataset and the YCB-Video dataset, both exhibiting cluttered scenes with highly occluded objects.",RESULTS
8146,"We achieve effective binary classification both on a real dataset of Unexploded Ordinance (UXOs), as well as synthetically generated examples.",RESULTS
8154,"Three other existing algorithms that is, First Come First Served (FCFS), Last Job First (LJF) and Best Effort First (BEF) were used to evaluate the performance of the proposed algorithm.",RESULTS
8155,All algorithms under consideration assumed to be non-preemptive.,RESULTS
8158,"A canonical transceiver structure in which the channel output is processed by a minimum mean-squared error estimator before decoding is established to maximize the GMI, and the well-known Bussgang's decomposition is shown to be a heuristic that is consistent with the GMI under linear output processing.",METHODS/RESULTS/CONCLUSIONS
8159,We address the statistical and optimization impacts of the classical sketch and Hessian sketch used to approximately solve the Matrix Ridge Regression (MRR) problem.,RESULTS
8161,"We establish that classical sketch has a similar effect upon the optimization properties of MRR as it does on those of LSR: namely, it recovers nearly optimal solutions.",RESULTS
8162,"By contrast, Hessian sketch does not have this guarantee, instead, the approximation error is governed by a subtle interplay between the ""mass"" in the responses and the optimal objective value.",RESULTS/CONCLUSIONS
8163,"For both types of approximation, the regularization in the sketched MRR problem results in significantly different statistical properties from those of the sketched LSR problem.",RESULTS/CONCLUSIONS
8165,"We provide upper and lower bounds on the bias and variance of sketched MRR, these bounds show that classical sketch significantly increases the variance, while Hessian sketch significantly increases the bias.",RESULTS
8166,"Empirically, sketched MRR solutions can have risks that are higher by an order-of-magnitude than those of the optimal MRR solutions.",RESULTS
8167,We establish theoretically and empirically that model averaging greatly decreases the gap between the risks of the true and sketched solutions to the MRR problem.,RESULTS/CONCLUSIONS
8168,"Thus, in parallel or distributed settings, sketching combined with model averaging is a powerful technique that quickly obtains near-optimal solutions to the MRR problem while greatly mitigating the increased statistical risk incurred by sketching.",RESULTS/CONCLUSIONS
8171,"Extending previous work on reidentifiability of spatial data and trajectory matching, we present the first large-scale analysis of user matchability in real mobility datasets on realistic scales, i.e. among two datasets that consist of several million people's mobility traces, coming from a mobile network operator and transportation smart card usage.",OBJECTIVES/RESULTS
8173,"We show that for individuals with typical activity in the transportation system (those making 3-4 trips per day on average), a matching algorithm based on the co-occurrence of their activities is expected to achieve a 16.8% success only after a one-week long observation of their mobility traces, and over 55% after four weeks.",RESULTS
8174,We show that the main determinant of matchability is the expected number of co-occurring records in the two datasets.,RESULTS
8177,In this paper we present a proof of a mathematical version of the strong cosmic censor conjecture attributed to Geroch-Horowitz and Penrose but formulated explicitly by Wald.,RESULTS/CONCLUSIONS
8180,"This way we recognize a close relationship between asymptotically flat or anti-de Sitter, physically relevant extendible space-times and the so-called Malament-Hogarth space-times which play a central role in recent investigations in the theory of ""gravitational computers"".",OBJECTIVES/RESULTS
8188,The algorithm is demonstrated using simulated data for phase connectivities in distribution networks.,RESULTS
8194,"The proposed loss function addresses the problem of learning multiple tasks with heterogeneously labeled data, improving previous multi-task approaches.",RESULTS
8195,"We validate the proposal using two datasets acquired in non controlled environments, and an application to predict compound facial emotion expressions.",RESULTS
8210,The subsequent Part 2 Validation discusses Stage 4 Val results collected by an original protocol for wall-to-wall thematic map quality assessment without sampling where the test and reference map legends can differ.,METHODS/RESULTS
8222,"This paper gives an overview of Aboria's design, an example of use, and a performance benchmark.",RESULTS
8225,We provide new theoretical results and detailed simulations.,RESULTS
8226,"These simulations indicate that the construction is competitive with Gaussian random matrices, and that recovery is tolerant to noise.",RESULTS
8227,A new recovery algorithm tailored to the construction is also given.,RESULTS
8234,Our results show that either an interpolation with seasonal kalman filter from the zoo package or a linear interpolation on seasonal loess decomposed data from the forecast package were the most effective methods for dealing with missing data in most of the scenarios assessed in this paper.,RESULTS/CONCLUSIONS
8242,The simulation results show that the proposed method can effectively evaluate lane departure correction systems.,RESULTS/CONCLUSIONS
8247,"As a result, throughput scales well with increasing number of concurrent clients and is not significantly impacted by evictions.",RESULTS
8248,"For example, about 65 queries per second can be executed in parallel by 30 concurrent clients, a 2x speedup over the state-of-the-art.",RESULTS
8249,The query access time for individual clients increases by only 2x when compared to a single-client deployment.,RESULTS
8256,"Our results show that the proposed scheme provides an estimate within +/- 1% of the true duty cycle, and detects misbehavior with a duty cycle 2.8% higher than the limit with a detection probability of at least 95%, while keeping the false alarm probability less than or equal to 1%.",RESULTS/CONCLUSIONS
8261,"Compared to the baseline scenario where one Wi-Fi network coexists with an additional Wi-Fi network, our results show that Wi-Fi performance is severely degraded when LTE transmits continuously.",RESULTS
8262,"However, LTE is able to improve the DST and rate coverage probability of Wi-Fi while maintaining acceptable data rate performance when it adopts one or more of the following coexistence features: a shorter transmission duty cycle, lower channel access priority, or more sensitive clear channel assessment (CCA) thresholds.",RESULTS
8267,Evaluations demonstrate that our CASINO framework achieves high prediction accuracy with contributions from all the latent features we capture.,RESULTS/CONCLUSIONS
8274,Experimental results show that our method outperforms the state of the art on most recent first person interactions datasets that involve complex ego-motion.,RESULTS
8275,"In particular, on UTKinect-FirstPerson it competes with methods that use depth image and skeletal joints information along with RGB images, while it surpasses all previous methods that use only RGB images by more than 20% in recognition accuracy.",RESULTS
8284,We demonstrate the design features of the proposed engine in real-world applications from mechanical engineering.,RESULTS
8289,The predictive analysis made shows the electricity consumers' wisdom.,RESULTS
8296,The existence and uniqueness of the solution and convergence of the proposed algorithm are analysed.,RESULTS
8297,Extensive experiments demonstrate that the proposed TWSC scheme outperforms state-of-the-art denoising methods on removing realistic noise.,RESULTS
8302,"Surprisingly, we find that, when integrated with meta-learning, relatively simple task construction mechanisms, such as clustering embeddings, lead to good performance on a variety of downstream, human-specified tasks.",RESULTS
8311,"Experimental results on a real-world conditioned traffic sign dataset have demonstrated the effectiveness of the proposed method in terms of detection accuracy and recall, especially for those with small sizes.",RESULTS
8326,"Therefore, regarding the amount of Android Applications around the world, we present DroidBugs, an introductory benchmark based on the analyzes of 360 open projects for Android, each of them with more than 5,000 downloads.",METHODS/RESULTS
8327,"From five applications, DroidBugs contains 13 single-bugs classified by the type of test that exposed them.",RESULTS/CONCLUSIONS
8328,"By using an APR tool, called Astor4Android, and two common Fault Localization strategy, it was observed how challenging is to find and fix mobile bugs.",METHODS/RESULTS
8332,"We show that the method performs well under several models and a wide range of parameters, and is guaranteed to be consistent under several asymptotic regimes.",RESULTS
8333,We compare the new method to several existing methods for estimating the number of communities and show that it is both more accurate and more computationally efficient.,RESULTS/CONCLUSIONS
8337,"In this way, results from a real testbed show energy savings of up to 15% when using a multi-hop approach while keeping the same network reliability.",METHODS/RESULTS
8338,System's self-organizing capability and resilience have been also validated after performing numerous iterations of the association mechanism and deliberately switching off network devices.,METHODS/RESULTS/CONCLUSIONS
8344,We demonstrate that PIMA is a flexible framework capable of achieving better sum-of-pairs score than existing trace alignment algorithms in only O(NL2) time.,RESULTS
8345,"We applied PIMA to analyzing medical workflow data, showing how iterative alignment can better represent the data and facilitate the extraction of insights from data visualization.",RESULTS/CONCLUSIONS
8350,The framework is validated on a publicly available benchmark dataset with comparisons against five state-of-the-art segmentation methods including two deep learning based approaches to substantiate its effectiveness.,RESULTS/CONCLUSIONS
8351,"Higher-dimensional analogs of the predictable degree property and column reducedness are defined, and it is proved that the two properties are equivalent.",RESULTS
8352,"It is shown that every multidimensional convolutional code has, what is called, a minimal reduced polynomial resolution.",RESULTS
8353,It is uniquely determined (up to isomorphism) and leads to a number of important integer invariants of the code generalizing classical Forney's indices.,RESULTS
8359,"The case study from this collaboration demonstrates that the proposed workflow helps experts derive useful knowledge about the model and the phenomena it describes, thus experts can generate useful hypotheses on how a model can be improved.",RESULTS/CONCLUSIONS
8366,"While robots are far from isomorphic with humans, they could benefit from strengthened associative connections in the optimization of their processes and their reactivity and sensitivity to environmental stimuli, and in situated human-machine interaction.",RESULTS/CONCLUSIONS
8367,The concept of multisensory integration should be extended to cover linguistic input and the complementary information combined from temporally coincident sensory impressions.,RESULTS/CONCLUSIONS
8372,It is shown that the affective empathy enforces mean-field equilibrium payoff equity and improves fairness between the players.,RESULTS
8373,It establishes equilibrium systems for such interactive decision-making problems.,RESULTS
8374,"Basic empathy concepts are illustrated in several important problems in engineering including resource sharing, packet collision minimization, energy markets, and forwarding in Device-to-Device communications.",RESULTS
8375,The work conducts also an experiment with 47 people who have to decide whether to cooperate or not.,METHODS/RESULTS
8376,The basic Interpersonal Reactivity Index of empathy metrics were used to measure the empathy distribution of each participant.,METHODS/RESULTS
8377,Android app called Empathizer is developed to analyze systematically the data obtained from the participants.,METHODS/RESULTS
8378,"The experimental results reveal that the dominated strategies of the classical game theory are not dominated any more when users' psychology is involved, and a significant level of cooperation is observed among the users who are positively partially empathetic.",METHODS/RESULTS
8385,Our experiments show that dCMF significantly outperforms previous CMF algorithms in integrating heterogeneous data for predictive modeling.,RESULTS/CONCLUSIONS
8386,"Further, on two tasks - recommendation and prediction of gene-disease association - dCMF outperforms state-of-the-art matrix completion algorithms that can utilize auxiliary sources of information.",RESULTS/CONCLUSIONS
8394,We support our analytical results through an exhaustive set of experiments on both synthetic and real data.,RESULTS
8399,This evaluation produces thought-provoking results -- we find that several estimators are less accurate than a random assignment of feature importance.,RESULTS
8400,"However, averaging a set of squared noisy estimators (a variant of a technique proposed by Smilkov et al.",RESULTS
8401,"(2017)), leads to significant gains in accuracy for each method considered and far outperforms such a random guess.",RESULTS
8407,The numerical results show a very good match between the analytical and simulation data under various SNR values and modulation alphabets.,RESULTS
8413,The proposed algorithm is evaluated using synthetic and real world data and shows substantial speedups compared to deterministic HALS.,RESULTS
8417,We provide theoretical results bounding regret under the exponential discounting setting.,RESULTS
8419,Numerical verification of different real life datasets are provided to show the utility of proposed algorithm.,RESULTS
8426,"With respect to FEM, however, MoM-SO is over 1000 times faster, and can calculate the impedance of a submarine cable inside a three-layer medium in 0.10~s per frequency point.",RESULTS
8434,"Our results show that, by training the robot under artificial and real ocean disturbances, the robot is able to successfully act in complex and spatiotemporal environments.",RESULTS/CONCLUSIONS
8437,We propose an encoding scheme based on compound LDGM-LDPC codes to achieve the theoretical bounds.,RESULTS
8445,"Both MONAS and DPP-Net are capable of optimizing accuracy and other objectives imposed by devices, searching for neural architectures that can be best deployed on a wide spectrum of devices: from embedded systems and mobile devices to workstations.",RESULTS
8449,"It is shown that this sequence is periodic with the period T>2 if C=-1,|B|<2.",RESULTS
8451,"A discussion of the different dimensions one can formalise situations, the different purposes for models and the different kinds of relationship they can have with the policy making process, is followed by an examination of the compromises forced by the complexity of the target issues.",RESULTS
8463,Number of experiments are conducted for indoor and outdoor video sequences of standard datasets and also our own collection of video sequences comprising of partial night vision video sequences.,RESULTS
8464,Experimental results show that our proposed approach achieves an excellent recognition rate.,RESULTS/CONCLUSIONS
8465,Results obtained are satisfactory and competent.,RESULTS/CONCLUSIONS
8476,"We found that algorithmic filtering might influence opinions' share and distributions, especially in case information is biased towards the current opinion of each user.",RESULTS
8477,These effects are reinforced in networks featuring topological and spatial correlations where echo chambers and polarisation emerge.,RESULTS
8478,"Conversely, heterogeneity in connectivity patterns reduces such tendency.",RESULTS
8480,"Interestingly, even minimal nudging is able to change the status quo moving it towards the desired view point.",RESULTS
8484,"We demonstrate, both theoretically and empirically, that the last weight layer of a neural network converges to a linear SVM trained on the output of the last hidden layer, for both the binary case and the multi-class case with the commonly used cross-entropy loss.",RESULTS
8485,"Furthermore, we show empirically that training a neural network as a whole, instead of only fine-tuning the last weight layer, may result in better bias constant for the last weight layer, which is important for generalization.",RESULTS
8489,"By focusing on the information spreading data of six typical events on Sina Weibo, we surprisingly find that the spreading of modern information shows some new features, i.e. either extremely fast or slow, depending on the individual events.",RESULTS
8491,Numerical simulations show that the model can reproduce the main spreading patterns of the six typical events.,RESULTS
8492,By this model we further reveal that the spreading can be speeded up by increasing either the strength of information sensitivity or social reinforcement.,RESULTS
8493,"Depending on the transmission probability and information sensitivity, the final accepted size can change from continuous to discontinuous transition when the strength of the social reinforcement is large.",RESULTS
8501,"Experimental results on three datasets show that our framework consistently improves performance, achieving competitive results despite the use of simple QA models.",RESULTS/CONCLUSIONS
8510,"The results show that the MPEM algorithm provides more compact representation of signals under investigation and clearer visualization of their time-frequency structures, indicating considerable promise of ACT in biosignal analysis.",RESULTS/CONCLUSIONS
8511,The MATLAB code repository is hosted on GitHub for free download (https://github.com/jiecui/mpact).,RESULTS
8514,We shortly summarize the most significant results obtained in the first two years of the project and related to the development of middleware and Data Mining tools for the Virtual Observatory.,RESULTS
8525,It then presents results and visualizations created with this MDP framework.,RESULTS
8534,Experimental analysis is done on AMI corpus to substantiate the capability of RMN in learning long-term information and hierarchical information.,RESULTS
8535,Recognition performance of RMN trained with 300 hours of Switchboard corpus is compared with various state-of-the-art LVCSR systems.,RESULTS
8536,The results indicate that RMN and BRMN gains 6 % and 3.8 % relative improvement over LSTM and BLSTM networks.,RESULTS
8541,"Experimental comparisons of top-down HC with our modified hierarchy, on a wide range of datasets shows classification performance improvement over the baseline hierarchy (i:e:, defined by expert), clustered hierarchy and flattening based hierarchy modification approaches.",RESULTS
8542,"In comparison to existing rewiring approaches, our developed method (rewHier) is computationally efficient, enabling it to scale to datasets with large numbers of classes, instances and features.",RESULTS
8546,Our results show that prior studies on simpler dynamics of this type can strongly depend on a synchronous schedule of the players' moves.,RESULTS
8547,"In particular, a small noise by itself is not enough to improve the quality of equilibria as soon as other very natural schedules are used.",RESULTS/CONCLUSIONS
8554,"Through a series of experiments using the geographic and demographic data from the city of San Pedro District of Los Angeles, we show that the charging station placement is highly consistent with the heatmap of the traffic flow.",METHODS/RESULTS
8555,"In addition, we observe a spatial economic phenomenon that service providers prefer clustering instead of separation in the EV charging market.",RESULTS
8559,"In this paper we present a SCAlable Real-time Fraud Finder (SCARFF) which integrates Big Data tools (Kafka, Spark and Cassandra) with a machine learning approach which deals with imbalance, nonstationarity and feedback latency.",RESULTS
8560,"Experimental results on a massive dataset of real credit card transactions show that this framework is scalable, efficient and accurate over a big stream of transactions.",RESULTS
8568,"To verify our analysis, an iterative image denoising algorithm is developed.",RESULTS
8569,"Experimental results show that our algorithm performs competitively with state-of-the-art denoising methods such as BM3D for natural images, and outperforms them significantly for piecewise smooth images.",RESULTS
8575,"It this connection, it is also necessary to consider the procurement of standard and appropriate ICT facilities.",METHODS/RESULTS
8576,This will help in the integration of these facilities for the future expansion.,RESULTS/CONCLUSIONS
8577,"This will also enable to create and foresee the impact of the pairing the management with information, technology, and education components individually and combined.",RESULTS/CONCLUSIONS
8583,"We discuss and measure the trade-offs of their design choices about balanced thread scheduling, atomic operations, synchronizations and latency hiding.",METHODS/RESULTS
8598,"As evidence of its functionality, we show and analyze quantitative results of the rhythmic growth patterns of the dicot Arabidopsis thaliana(L.), and the monocot barley (Hordeum vulgare L.) plants under their diurnal light/dark cycles.",RESULTS
8607,The quantization was applied to provide an approximation to address the finite word-length constraints of digital signal processing (DSP).,METHODS/RESULTS
8608,"An optimum operating mode was proposed, based on the signal-to-quantization-noise ratio (SQNR) as well as the statistical theory of quantization, to minimize the tradeoff issues associated with selecting the most application-efficient floating-point processing capability in contrast to their resolution quality.",RESULTS/CONCLUSIONS
8614,A variation of Zeilberger's holonomic ansatz for symbolic determinant evaluations is proposed which is tailored to deal with Pfaffians.,OBJECTIVES/RESULTS
8615,"The method is also applicable to determinants of skew-symmetric matrices, for which the original approach does not work.",RESULTS/CONCLUSIONS
8617,"To demonstrate the power of our method, we prove, using computer algebra algorithms, some conjectures proposed in the paper ""Pfaffian decomposition and a Pfaffian analogue of q-Catalan Hankel determinants"" by Ishikawa, Tagawa, and Zeng.",RESULTS
8618,A minor summation formula related to partitions and Motzkin paths follows as a corollary.,RESULTS
8626,"While naive implementations of the autoregressive generation algorithm tend to be inefficient, using a smart algorithm we can greatly speed up the process and obtain a system that's competitive in both speed and quality.",METHODS/RESULTS
8636,Our experiments reveal that EPSR achieves the state-of-the-art trade-off between distortion and perceptual quality while the existing methods perform well in either of these measures alone.,RESULTS
8641,"By making explicit and visible many individual perceptions of cognitive authority, this work shows that a group can know what its members know about in a relatively efficient and inexpensive manner.",RESULTS/CONCLUSIONS
8655,"Consequently, the main contributions of the present paper are threefold: (i) we present an alternating scheme that enables to determine the best estimate of the model parameters and unknown stimuli; (ii) we provide necessary and sufficient conditions to ensure that it is possible to retrieve the state and unknown stimuli; and (iii) upon these conditions we determine a small subset of variables that need to be measured to ensure that both state and input can be recovered, while establishing sub-optimality guarantees with respect to the smallest possible subset.",RESULTS
8664,"Case studies show that this robust method excels in yielding a completely reliable RPP, and also that a DPS, even under the uncertainty, is still an effective reactive power prosumer for the TPS.",RESULTS/CONCLUSIONS
8668,We show that this sum is bounded above by its value in a star tree.,RESULTS
8669,"We also show that the mean edge length grows logarithmically in optimal linear arrangements, in stark contrast to the linear growth that is expected on optimal arrangements of star trees or on random linear arrangements.",RESULTS
8674,"Validated on the CROHME competition task, the proposed method significantly outperforms the state-of-the-art methods with an expression recognition accuracy of 52.8% on CROHME 2014 and 50.1% on CROHME 2016, by only using the official training dataset.",RESULTS
8677,We have evaluated the MCLNN performance using the Urbansound8k dataset of environmental sounds.,RESULTS
8679,MCLNN has achieved competitive results without augmentation and using 12% of the trainable parameters utilized by an equivalent model based on state-of-the-art Convolutional Neural Networks on the Urbansound8k.,RESULTS
8687,The results show that the enhancement models significantly improved the SNR of low-quality degraded data found in publicly available sources and that they significantly improved the perceptual cleanliness of the source speech without significantly degrading the naturalness of the voice.,RESULTS
8702,"By applying Retecs on data extracted from three industrial case studies, we show for the first time that reinforcement learning enables fruitful automatic adaptive test case selection and prioritization in CI and regression testing.",RESULTS
8706,"The statistical results show that RCMSE in GSR has a dominating performance in arousal, while RCMPE in GSR would be the excellent feature in valence.",RESULTS/CONCLUSIONS
8707,"Furthermore, we selected XGBoost model to predict emotion and get 68% accuracy in arousal and 84% in valence.",RESULTS/CONCLUSIONS
8710,"Here I show that, by regarding a journal as a ""virtual scientist"" that can be attributed a time-dependent Hirsch h-index, we can introduce a parameter that, arguably, better captures the ""persistency"" of a scientific publication.",RESULTS
8716,"Finally, we present an effective training protocol that integrates small amounts of code-switched data with large amounts of monolingual data, for both the generative and discriminative cases.",RESULTS/CONCLUSIONS
8723,The main result of the study is that less than 50% of the publications have some kind of altmetrics.,RESULTS
8724,"The source that provides most metrics is Mendeley, with metrics on readerships for around 37% of all the publications studied.",RESULTS
8725,Other sources only provide marginal information.,RESULTS
8732,"After proving the existence of domain gap among different races and the existence of racial bias in FR algorithms, we further propose a deep information maximization adaptation network (IMAN) to bridge the domain gap, and comprehensive experiments show that the racial bias could be narrowed-down by our algorithm.",METHODS/RESULTS
8735,"The vehicle dynamics are highly nonlinear for large steering angles, including the conditions where the vehicle approaches a rollover onset, which necessitates reference governor design changes.",BACKGROUND/RESULTS
8736,Simulation results show that reference governor designs are effective in avoiding rollover.,RESULTS/CONCLUSIONS
8737,"The results also demonstrate that the controllers are not overly conservative, adjusting the driver steering input only for very high steering angles.",RESULTS
8750,One of the most interesting findings of our paper is the duality result between a distance measure and a cohesion measure.,METHODS/RESULTS
8751,Such a duality result leads to a dual K-sets algorithm for clustering a set of data points with a cohesion measure.,METHODS/RESULTS
8753,The key difference is that a cohesion measure does not need to be positive semi-definite.,METHODS/RESULTS
8759,Our study shows that the community has been diversely using TBCG over the past 15 years.,RESULTS/CONCLUSIONS
8760,TBCG has greatly benefited from MDE.,RESULTS/CONCLUSIONS
8761,It has favored a template style that is output-based and high level modeling languages as input.,RESULTS/CONCLUSIONS
8762,TBCG is mainly used to generate source code and has been applied in a variety of domains.,RESULTS/CONCLUSIONS
8763,"Furthermore, both MDE and non-MDE tools are becoming effective development resources in industry.",RESULTS/CONCLUSIONS
8768,"We find positive correlations between the rate of alcohol consumption reported among a community's Twitter users and the density of alcohol outlets, demonstrating that the degree of correlation varies significantly between urban and suburban areas.",RESULTS
8776,"Evaluation results demonstrate that our model outperforms sequence to sequence, attention-based and bi- directional LSTM models on BLEU, METEOR, TER and an embedding-based sentence similarity metric.",RESULTS
8781,"The new feature outperforms the one-layer spectrum in the MPE task and, as predicted, it addresses the issue of the missing fundamental effect and also achieves better robustness to noise.",RESULTS
8785,We derive an analytic expression for the optimal behavior policy --- the behavior policy that minimizes the mean squared error of the resulting estimates.,METHODS/RESULTS
8787,We present a behavior policy search algorithm and empirically demonstrate its effectiveness in lowering the mean squared error of policy performance estimates.,METHODS/RESULTS/CONCLUSIONS
8794,We validate our approach by lookup in the UniMorph corpora and find a macro-average of 64.13% recall.,RESULTS
8795,We also note incompatibilities due to paucity of data on either side.,RESULTS
8796,"Finally, we present a critical evaluation of the foundations, strengths, and weaknesses of the two annotation projects.",RESULTS
8802,Our experiments with enterprise-level attacks demonstrate that ProPatrol significantly cuts down the forensic investigation effort and quickly pinpoints the root- cause of attacks.,RESULTS
8803,ProPatrol incurs less than 2% runtime overhead on a commodity operating system.,RESULTS
8816,We find that the most informative indicators of performance are based on social ties and that network indicators result in better model performance than individual characteristics (including both personality and class attendance).,RESULTS
8817,We confirm earlier findings that class attendance is the most important predictor among individual characteristics.,RESULTS
8818,"Finally, our results suggest the presence of strong homophily and/or peer effects among university students.",RESULTS
8825,This paper proposes an integrated model that can predict customer churn and also recommend personalized win back actions.,RESULTS
8831,"Comprehensive experiments show that our proposed method significantly outperforms the baseline anchor-based detector, while consistently achieving state-of-the-art results on challenging face detection datasets with competitive runtime speed.",RESULTS
8839,"Experimental results on various datasets show that EGSC-IT does not only translate the source image to diverse instances in the target domain, but also preserves the semantic consistency during the process.",RESULTS
8846,We verify the effectiveness of our method by conducting experiments on two challenging real-world datasets and show consistent improvements over previous discriminative pose estimation methods.,RESULTS
8856,Extensive experiments show that the proposed tracking algorithm performs well against the state-of-the-art methods on large-scale benchmark datasets.,RESULTS/CONCLUSIONS
8859,"Our main result is that simple algorithms based on the identity of the users spreading the news, as well as the words appearing in the titles and descriptions of the linked articles, are able to identify a large portion of fake or misleading news, while incurring only very low (<1%) false positive rates for mainstream websites.",RESULTS
8862,"The proposed implementation is flexible as it allows full customization of the process and easy integration with existing tools for long term graphical user interface test case maintenance, software visualization and analysis.",RESULTS
8866,"Interestingly, our results show that our synchronization-based approach well correlates with existing social capital metrics (i.e., Referendum turnout, Blood donations, and Association density), being also able to characterize the different role played by high synchronization within a close proximity-based community and high synchronization among different communities.",RESULTS
8872,We demonstrate that this can improve the overall accuracy by 2%.,RESULTS
8873,"Finally, we evaluate the method on a benchmark dataset and show an improvement in accuracy relative to published results for traditional methods of 2.5% for a model trained using only review text and 4.24% for a model trained on a combination of rating star information and review text.",RESULTS
8880,"We find that all anonymization techniques, except prefix-preserving permutation, degrade the utility of data for anomaly detection.",RESULTS
8881,We show that the degree of degradation depends to a large extent on the nature and mix of anomalies present in a trace.,RESULTS
8882,"Moreover, we present a case study that illustrates how traffic characteristics of individual hosts are distorted by anonymization.",RESULTS
8897,The obfuscated data is unintelligible for a human eavesdropper but can still be classified with a high accuracy by a neural network trained on unobfuscated images.,RESULTS
